Language	English	Japanese
sCustomShaderTitle	Cross Fade	クロスフェード
sCustomPropertyCategory	Cross Fade	クロスフェード
sTimeSource	Time Source	時間ソース
sTimeSourceElapsedTime	Elapsed Time	経過時間
sTimeSourceFakeTime	Fake Time	疑似時間
sTimeSourceVRChatUTC	UTC (VRChat only)	UTC (VRChatのみ)
sFakeTime	Fake Time	疑似時間
sDisplayTime	Display time for one texture (seconds)	1テクスチャの周期時間（秒）
sCrossFadeTime	Time to cross fade (seconds)	クロスフェード時間（秒）
sNumTextures	Number of textures	テクスチャ数
sAtlasRows	Number of rows in atlas texture	アトラステクスチャの行数
sAtlasCols	Number of columns in atlas texture	アトラステクスチャの列数
sTexMode	Texture mode	テクスチャモード
sMainTexArray	Main texture array	メインテクスチャ配列
sMainTex1	Main texture 1	メインテクスチャ1
sMainTex2	Main texture 2	メインテクスチャ2
sMainTex3	Main texture 3	メインテクスチャ3
sMainTex4	Main texture 4	メインテクスチャ4
