Language	English	Japanese	Korean	Chinese Simplified	Chinese Traditional
sCustomShaderTitle	Hue Shift	色相シフト	색조 변화	色相偏移	色相偏移
sCustomPropertyCategory	Hue Shift	色相シフト	색조 변화	色相偏移	色相偏移
sHueShiftMask	Mask	マスク	마스크	遮罩	遮罩
sTimeSource	Time Source	時間ソース	시간 소스	时间源	時間來源
sTimeSourceElapsedTime	Elapsed Time	経過時間	경과 시간	已过去时间	經過時間
sTimeSourceFakeTime	Fake Time	疑似時間	가상 시간	模拟时间	虛擬時間
sTimeSourceVRChatUTC	UTC (VRChat only)	UTC (VRChatのみ)	UTC (VRChat 전용)	UTC（仅限VRChat）	UTC（僅限 VRChat）
sFakeTime	Fake Time	疑似時間	가상 시간	模拟时间	虛擬時間
sHueShiftSpeed	Hue shift speed	色相変化速度	색조 변화 속도	色相偏移速度	色相偏移速度
sHueShiftEmission	Enable Hue Shift on Emission 1st	発光テクスチャに対して適用	1차 발광 시 색조 변화 활성화	在第一次发射时启用色相偏移	啟用首次發光時的色相偏移
sHueShiftEmission2nd	Enable Hue Shift on Emission 2nd	発光テクスチャ2ndに対して適用	2차 발광 시 색조 변화 활성화	在第二次发射时启用色相偏移	啟用第二次發光時的色相偏移
