Language	English	Japanese
sCustomShaderTitle	Text Overray	テキストオーバーレイ
sSpriteTex	Sprite Sheet Texture	スプライトシート
sEnableElapsedTime	Elapsed time	経過時間
sElapsedTimeColor	Color	色
sElapsedTimeOffset	Offsets	オフセット
sElapsedTimeScale	Scales	スケール
sElapsedTimeRotAngle	Rotate angle	回転角
sElapsedTimeDisplayLength	Display length	数字個数
sElapsedTimeAlign	Align	アラインメント
sEnableALTimeOfDay	Times of day of AudioLink	オーディオリンク時刻
sALTimeOfDayColor	Color	色
sALTimeOfDayOffset	Offsets	オフセット
sALTimeOfDayScale	Scales	スケール
sALTimeOfDayRotAngle	Rotate angle	回転角
sALTimeOfDayDisplayLength	Display length	数字個数
sALTimeOfDayAlign	Align	アラインメント
sALTimeOfDayOffsetSeconds	Offset seconds	オフセット秒数
sEnableFramerate	Framerate	フレームレート
sFramerateColor	Color	色
sFramerateOffset	Offsets	表示オフセット
sFramerateScale	Scales	表示スケール
sFramerateRotAngle	Rotate angle	表示回転角
sFramerateDisplayLength	Display length	数字個数
sFramerateAlign	Align	アラインメント
sEnableWorldPos	World position	ワールド座標
sWorldPosColorX	Color of X	X座標色
sWorldPosColorY	Color of Y	Y座標色
sWorldPosColorZ	Color of Z	Z座標色
sWorldPosOffset	Offsets	オフセット
sWorldPosScale	Scales	スケール
sWorldPosRotAngle	Rotate angle	回転角
sWorldPosDisplayLength	Display length	数字個数
sWorldPosAlign	Align	アラインメント
