Language	English	Japanese
sCustomShaderTitle	Wireframe	ワイヤフレーム
sCustomPropertyCategory	Wireframe	ワイヤフレーム
sWireframeWidth	Width	幅
sWireframeMaskAndColor	Color / Mask	色 / マスク
sWireframeRandomizeColor	Randomize hue of color	色相のランダム化
sTimeSource	Time Source	時間ソース
sTimeSourceElapsedTime	Elapsed Time	経過時間
sTimeSourceFakeTime	Fake Time	疑似時間
sTimeSourceVRChatUTC	UTC (VRChat only)	UTC (VRChatのみ)
sFakeTime	Fake Time	疑似時間
sWireframeCycleTime	Animation cycle (seconds)	アニメーション周期（秒）
sWireframeDecayTime	Emission decay time (seconds)	発光減衰時間（秒）
